
482, 96, 4, 2, 409, 439, 411, 925, 13, 2, 22, 1362, 312, 4, 3330, 400, 32, 490, 807, 311, 0, 92, 446, 105, 249, 818, 113, 252, 413, 63, 1197, 394, 0, 16, 73, 1060, 52, 219, 105, 83, 21, 19, 407, 0, 549, 0, 87, 1133, 91, 57, 360, 114, 182, 28, 0, 521, 708, 23, 679, 0, 596, 518, 83, 6, 702, 592, 275, 334, 4994, 2, 112, 0, 143, 569, 0, 118, 561, 288, 433, 16, 2, 16, 779, 31, 4018, 0, 346, 460, 658, 135, 185, 1374, 27, 975, 307, 181, 533, 414, 52, 595, 1092, 114, 0, 190, 153, 1982, 6586, 543, 20, 1043, 22, 909, 51, 79, 6830, 508, 22, 140, 10, 1861, 17, 0, 512, 0, 0, 98, 616, 126
366, 2713, 40, 2, 229, 12, 317, 263, 0, 0, 28, 641, 239, 137, 1003, 33, 0, 158, 1765, 3, 18, 17, 97, 9, 276, 0, 10, 8564, 1, 641, 4409, 728, 1147, 3, 45, 287, 131, 5, 2892, 0, 124, 0, 0, 2102, 43, 0, 4, 17, 52, 9, 898, 1, 17, 11, 260, 0, 0, 186, 0, 0, 6, 895, 14, 133, 57, 6948, 12, 62, 2, 65, 7, 32, 961, 0, 35, 32, 3325, 18, 1323, 2, 0, 245, 0, 23, 145, 1, 118, 167, 223, 195, 149, 15, 1, 999, 7, 603, 72, 87, 2, 10, 1148, 7341, 5, 5, 2, 0, 3340, 2670, 188, 279, 4, 0, 1136, 0, 0, 12, 76, 0, 117, 82, 0, 122, 26, 27, 2, 19, 0, 991
0, 1, 3, 3, 266, 9, 3, 130, 5, 0, 3, 211, 3, 9843, 728, 126, 18, 851, 217, 77, 470, 0, 6, 87, 14, 2, 0, 138, 2, 0, 23, 3, 48, 1, 252, 0, 10, 1, 33, 0, 1, 4, 487, 20, 1, 15, 2112, 2, 229, 5, 0, 107, 3443, 586, 43, 10, 1957, 32, 4, 0, 27, 69, 63, 3, 139, 21, 135, 0, 0, 0, 59, 815, 1152, 54, 0, 8334, 0, 12, 0, 0, 29, 21, 0, 1, 1, 0, 19, 854, 3, 0, 11, 2, 10, 0, 14008, 63, 31, 35, 50, 1774, 157, 0, 1, 200, 0, 2378, 4794, 0, 252, 0, 2, 0, 46, 3743, 4, 166, 1, 1434, 4, 750, 30, 2, 9, 48, 69, 33, 6, 967
2, 0, 5, 0, 102, 7, 4, 1078, 37, 8, 2, 25, 233, 0, 16, 20, 357, 928, 14, 14, 0, 11, 0, 16, 12, 235, 3560, 88, 0, 8, 71, 0, 111, 114, 151, 148, 0, 330, 71, 4, 1, 0, 3, 0, 1, 1, 9, 4, 83, 15, 5, 0, 0, 0, 0, 11, 692, 77, 0, 0, 0, 0, 31, 0, 0, 72, 0, 0, 32, 5, 72, 0, 44408, 26, 767, 256, 4346, 3, 3, 10, 0, 98, 5, 79, 550, 3, 0, 126, 2, 8, 456, 39, 34, 29, 369, 47, 0, 314, 0, 1662, 0, 381, 62, 182, 7, 31, 0, 0, 39, 1, 43, 497, 164, 13, 882, 6, 6, 22, 75, 10, 6, 275, 159, 0, 3, 0, 22, 114
2, 68, 0, 41, 0, 0, 236, 0, 2, 1, 0, 12, 8858, 3, 4, 0, 0, 135, 139, 118, 90, 0, 105, 0, 332, 0, 0, 0, 221, 3, 6, 0, 1, 19, 152, 4, 54, 0, 20, 3119, 0, 160, 0, 1, 133, 0, 79, 0, 0, 0, 144, 0, 29181, 0, 6, 19, 44, 0, 190, 459, 3, 11, 6, 64, 0, 0, 25, 0, 0, 0, 352, 14, 3, 10, 0, 0, 10, 0, 2, 16, 0, 0, 3, 0, 288, 2, 1, 0, 2, 14, 8, 18, 0, 0, 1, 0, 26, 0, 0, 40, 1509, 13661, 3, 17, 0, 383, 9, 19, 4, 1343, 0, 823, 0, 268, 0, 0, 3, 0, 0, 371, 1, 1, 236, 1223, 5, 115, 462, 0

0, 0, 1, 0, 0, 12579, 1, 0, 0, 2, 11, 1, 54, 0, 0, 0, 28, 0, 0, 181, 0, 98, 9, 0, 1, 0, 19738, 7, 0, 0, 2, 25, 151, 9, 1, 0, 10, 0, 256, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 213, 0, 0, 0, 0, 5, 0, 13460, 61, 1, 0, 0, 1, 8, 0, 0, 0, 0, 0, 0, 3, 239, 0, 2539, 2158, 0, 872, 3, 29, 0, 2661, 0, 0, 2, 0, 11, 310, 0, 7, 0, 0, 916, 0, 0, 0, 0, 0, 0, 0, 25, 439, 0, 3, 0, 0, 1, 0, 1, 0, 0, 313, 0, 330, 6079, 0, 0, 25, 129, 765, 6, 37, 692, 5, 0, 0, 2, 0, 14, 2
3, 1, 0, 10, 0, 12, 0, 32, 0, 0, 190, 25, 0, 0, 0, 1, 13, 32298, 0, 109, 0, 0, 48, 0, 0, 7, 0, 3, 12, 978, 0, 9, 0, 0, 2, 1, 0, 10, 20, 12990, 0, 0, 46, 20, 0, 0, 95, 1999, 0, 0, 0, 1482, 0, 770, 2794, 698, 0, 0, 0, 0, 0, 1, 0, 521, 1, 0, 1, 0, 0, 0, 276, 0, 0, 0, 1, 0, 0, 1, 170, 0, 0, 0, 0, 0, 1473, 1, 0, 0, 0, 0, 0, 0, 0, 2, 5, 7, 0, 1, 5, 0, 0, 1, 15, 1, 0, 0, 77, 28, 0, 22, 2, 0, 3, 0, 0, 22, 0, 4, 0, 0, 0, 363, 12, 247, 0, 0, 7595, 0
9143, 3, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 0, 34, 62, 0, 6, 0, 0, 1, 0, 0, 0, 0, 58, 13, 1, 2, 0, 0, 5, 0, 0, 71, 0, 0, 0, 0, 0, 2, 2695, 4278, 0, 0, 0, 1, 0, 1, 0, 0, 172, 15, 0, 0, 1, 20, 0, 4, 0, 7265, 15, 0, 0, 0, 269, 0, 2551, 0, 0, 0, 256, 0, 0, 995, 16, 0, 0, 0, 17445, 0, 0, 0, 1, 0, 0, 1, 256, 87, 0, 590, 4, 0, 0, 0, 0, 0, 56, 52, 0, 0, 491, 0, 13, 0, 0, 0, 276, 0, 48, 0, 0, 0, 202, 0, 0, 0, 43, 0, 0, 0, 0, 30, 752, 17219, 0, 1, 0
0, 49, 0, 11, 22, 2, 0, 13068, 151, 0, 1484, 810, 1, 0, 2420, 0, 0, 0, 0, 0, 0, 8, 0, 71, 8, 0, 2, 1, 2, 10, 0, 0, 5, 1, 0, 0, 92, 0, 432, 2, 0, 0, 0, 3, 174, 14932, 0, 0, 10, 174, 3, 0, 0, 0, 7644, 0, 0, 0, 0, 13, 0, 240, 2546, 0, 0, 1141, 0, 0, 15, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 163, 1, 0, 10, 3, 0, 0, 0, 23, 0, 0, 0, 0, 14, 135, 0, 0, 1, 0, 0, 8, 0, 0, 0, 8, 0, 0, 0, 2, 2085, 0, 44, 4, 48, 45, 0, 16477, 0, 17, 1, 237, 0, 2, 513, 0
